place,rating,comment,sentiment,clean_comment
Nusa Penida,5,"Pemandangan sunrise di sini luar biasa indah, sangat recommended.",Positif,pemandangan sunrise di sini luar biasa indah sangat recommended
Gili Trawangan,5,"Bersih dan terawat dengan baik, petugas sangat ramah dan helpful.",Positif,bersih dan terawat dengan baik petugas sangat ramah dan helpful
Pantai Parangtritis,5,"Air laut jernih dan biru, pasir putih bersih, sangat indah.",Positif,air laut jernih dan biru pasir putih bersih sangat indah
Pantai Kuta Bali,5,"Pengalaman seru dan menakjubkan, pemandangan alam yang cantik.",Positif,pengalaman seru dan menakjubkan pemandangan alam yang cantik
Pantai Derawan,4,"Tempat sangat bersih, staff ramah, dan fasilitas bagus sekali.",Positif,tempat sangat bersih staff ramah dan fasilitas bagus sekali
Taman Laut Bunaken,5,"Spot foto terbaik, instagramable banget! Tempat sangat cantik.",Positif,spot foto terbaik instagramable banget tempat sangat cantik
Gunung Rinjani,3,Lumayan bagus tapi bisa lebih ditingkatkan lagi pengelolaannya.,Netral,lumayan bagus tapi bisa lebih ditingkatkan lagi pengelolaannya
Taman Mini Indonesia Indah,5,"Suasana alam sangat asri dan sejuk, keluarga sangat menikmati.",Positif,suasana alam sangat asri dan sejuk keluarga sangat menikmati
Pantai Kuta Bali,5,"Suasana alam sangat asri dan sejuk, keluarga sangat menikmati.",Positif,suasana alam sangat asri dan sejuk keluarga sangat menikmati
Kepulauan Seribu,5,"Destinasi wisata yang wajib dikunjungi, pemandangan memukau.",Positif,destinasi wisata yang wajib dikunjungi pemandangan memukau
Pantai Derawan,3,"Cukup menarik, meski ada beberapa kekurangan di fasilitas.",Netral,cukup menarik meski ada beberapa kekurangan di fasilitas
Kawah Ijen,4,"Wisata terbaik yang pernah saya kunjungi, sangat direkomendasikan.",Positif,wisata terbaik yang pernah saya kunjungi sangat direkomendasikan
Pantai Pink Lombok,4,"Harga tiket sangat terjangkau, nilai uang sangat sepadan.",Positif,harga tiket sangat terjangkau nilai uang sangat sepadan
Prambanan Temple,4,"Bersih dan terawat dengan baik, petugas sangat ramah dan helpful.",Positif,bersih dan terawat dengan baik petugas sangat ramah dan helpful
